evento,fecha,hora,latitud,longitud,prof_km,inten,mag,tipo_mag,localizacion,datetime,the_geom,cartodb_id,created_at,updated_at
1098394,24/09/2011,21:24:52,27.6523,-18.0298,13,IV,3.3,4,SW FRONTERA.I,2011-09-24 00:00:00+00,0101000020E6100000BA6B09F9A00732C0492EFF21FDA63B40,2667,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1098434,24/09/2011,23:52:18,27.6875,-18.0777,15,III,3.2,4,SW FRONTERA.I,2011-09-24 00:00:00+00,0101000020E610000032E6AE25E41332C00000000000B03B40,2677,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099334,27/09/2011,09:32:15,27.6869,-18.0696,15,III,3.5,4,SW FRONTERA.I,2011-09-27 00:00:00+00,0101000020E610000036CD3B4ED11132C0569FABADD8AF3B40,3028,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099578,27/09/2011,14:38:48,27.6779,-18.08,18,III-IV,3.5,4,SW FRONTERA.I,2011-09-27 00:00:00+00,0101000020E610000014AE47E17A1432C05AF5B9DA8AAD3B40,3077,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099600,27/09/2011,15:44:14,27.6812,-18.0779,17,IV,3.8,4,SW FRONTERA.I,2011-09-27 00:00:00+00,0101000020E6100000C05B2041F11332C003098A1F63AE3B40,3087,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099628,27/09/2011,17:02:59,27.6849,-18.0552,14,III-IV,3.1,4,SW FRONTERA.I,2011-09-27 00:00:00+00,0101000020E61000003CBD5296210E32C0C8073D9B55AF3B40,3133,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099639,27/09/2011,17:10:34,27.6769,-18.065,16,III-IV,3.5,4,SW FRONTERA.I,2011-09-27 00:00:00+00,0101000020E6100000713D0AD7A31032C093A9825149AD3B40,3137,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099694,27/09/2011,19:24:00,27.6759,-18.0755,16,,3.2,4,SW FRONTERA.I,2011-09-27 00:00:00+00,0101000020E610000017D9CEF7531332C0CC5D4BC807AD3B40,3154,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099717,27/09/2011,19:37:06,27.6743,-18.0725,16,-1,3.1,4,SW FRONTERA.I,2011-09-27 00:00:00+00,0101000020E6100000C3F5285C8F1232C05BB1BFEC9EAC3B40,3157,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099762,27/09/2011,22:37:06,27.6703,-18.0702,16,III-IV,3.1,4,SW FRONTERA.I,2011-09-27 00:00:00+00,0101000020E6100000E02D90A0F81132C04182E2C798AB3B40,3207,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099800,27/09/2011,22:57:20,27.6741,-18.0696,16,,3.1,4,SW FRONTERA.I,2011-09-27 00:00:00+00,0101000020E610000036CD3B4ED11132C0CD3B4ED191AC3B40,3213,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099815,28/09/2011,00:02:56,27.6537,-18.0592,17,,3.1,4,SW FRONTERA.I,2011-09-28 00:00:00+00,0101000020E610000057EC2FBB270F32C02C6519E258A73B40,3232,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099846,28/09/2011,05:00:59,27.6775,-18.0608,15,III,3.3,4,SW FRONTERA.I,2011-09-28 00:00:00+00,0101000020E6100000C898BB96900F32C03D0AD7A370AD3B40,3272,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099872,28/09/2011,07:10:34,27.6811,-18.0708,17,III,3.5,4,SW FRONTERA.I,2011-09-28 00:00:00+00,0101000020E61000008A8EE4F21F1232C03C4ED1915CAE3B40,3292,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1099965,28/09/2011,09:47:39,27.6668,-18.0781,15,III,3.3,4,SW FRONTERA.I,2011-09-28 00:00:00+00,0101000020E61000004ED1915CFE1332C009F9A067B3AA3B40,3310,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100131,28/09/2011,16:47:31,27.5729,-18.0062,11,III-IV,3.4,4,S FRONTERA.IH,2011-09-28 00:00:00+00,0101000020E6100000363CBD52960132C0DFE00B93A9923B40,3347,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100135,28/09/2011,17:36:08,27.6682,-18.0802,16,III-IV,3.3,4,SW FRONTERA.I,2011-09-28 00:00:00+00,0101000020E6100000A323B9FC871432C0EC2FBB270FAB3B40,3355,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100141,28/09/2011,17:47:37,27.6188,-18.01,14,II,3.2,4,S FRONTERA.IH,2011-09-28 00:00:00+00,0101000020E6100000C3F5285C8F0232C0CAC342AD699E3B40,3358,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100189,28/09/2011,22:52:59,27.6782,-18.0805,16,III-IV,3.5,4,SW FRONTERA.I,2011-09-28 00:00:00+00,0101000020E6100000F853E3A59B1432C0AF25E4839EAD3B40,3380,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100261,29/09/2011,00:35:17,27.6691,-18.0774,16,III,3.6,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E6100000DDB5847CD01332C0ECC039234AAB3B40,3397,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100283,29/09/2011,04:21:46,27.6771,-18.0687,16,,3.1,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E6100000363CBD52961132C0211FF46C56AD3B40,3419,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100306,29/09/2011,04:31:40,27.6654,-18.0647,16,II,3.1,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E61000001B0DE02D901032C027C286A757AA3B40,3424,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100292,29/09/2011,04:43:08,27.6681,-18.0668,17,III,3.5,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E6100000705F07CE191132C02575029A08AB3B40,3429,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100309,29/09/2011,04:51:00,27.6807,-18.0655,16,,3.1,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E610000054E3A59BC41032C02063EE5A42AE3B40,3433,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100299,29/09/2011,04:56:25,27.6678,-18.0638,16,II-III,3.2,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E61000001C7C6132551032C0D044D8F0F4AA3B40,3435,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100382,29/09/2011,09:12:04,27.6688,-18.0732,17,III-IV,3.8,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E61000003411363CBD1232C097900F7A36AB3B40,3473,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100608,29/09/2011,14:33:27,27.6317,-18.054,15,III,3.2,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E6100000E7FBA9F1D20D32C019E25817B7A13B40,3500,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100610,29/09/2011,14:42:53,27.6342,-18.0805,15,III-IV,3.5,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E6100000F853E3A59B1432C08A1F63EE5AA23B40,3501,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100661,29/09/2011,19:16:34,27.6338,-18.08,15,III,3.3,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E610000014AE47E17A1432C06E3480B740A23B40,3528,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100664,29/09/2011,19:30:11,27.6412,-18.0718,15,III-IV,3.7,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E610000051DA1B7C611232C0F931E6AE25A43B40,3532,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100703,29/09/2011,20:48:42,27.6367,-18.0815,16,III,3.2,4,SW FRONTERA.I,2011-09-29 00:00:00+00,0101000020E6100000BE9F1A2FDD1432C0FB5C6DC5FEA23B40,3539,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1100873,30/09/2011,09:19:59,27.6592,-18.0633,16,III,3.2,4,SW FRONTERA.I,2011-09-30 00:00:00+00,0101000020E610000039D6C56D341032C0F085C954C1A83B40,3628,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101043,30/09/2011,15:38:11,27.6423,-18.0844,15,III,3.3,4,SW FRONTERA.I,2011-09-30 00:00:00+00,0101000020E61000004BC8073D9B1532C08638D6C56DA43B40,3656,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101102,01/10/2011,00:25:07,27.6375,-18.0535,14,III,3.5,4,SW FRONTERA.I,2011-10-01 00:00:00+00,0101000020E610000004560E2DB20D32C03333333333A33B40,3702,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101111,01/10/2011,00:28:20,27.6683,-18.0603,15,-1,3.4,4,SW FRONTERA.I,2011-10-01 00:00:00+00,0101000020E6100000E5F21FD26F0F32C0B3EA73B515AB3B40,3703,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101142,01/10/2011,00:37:28,27.6259,-18.0549,12,IV,3.4,4,SW FRONTERA.I,2011-10-01 00:00:00+00,0101000020E6100000E78C28ED0D0E32C000917EFB3AA03B40,3707,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101119,01/10/2011,00:47:31,27.6417,-18.0459,14,-1,3.6,4,SW FRONTERA.I,2011-10-01 00:00:00+00,0101000020E6100000EBE2361AC00B32C0DCD7817346A43B40,3711,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101151,01/10/2011,00:50:34,27.6233,-18.0535,14,,3.3,4,SW FRONTERA.I,2011-10-01 00:00:00+00,0101000020E610000004560E2DB20D32C0C898BB96909F3B40,3712,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101125,01/10/2011,00:57:39,27.6325,-18.0562,14,-1,3.2,4,SW FRONTERA.I,2011-10-01 00:00:00+00,0101000020E610000003098A1F630E32C052B81E85EBA13B40,3713,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101158,01/10/2011,02:32:40,27.6476,-18.0465,13,,3.4,4,SW FRONTERA.I,2011-10-01 00:00:00+00,0101000020E610000096438B6CE70B32C0BDE3141DC9A53B40,3728,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101286,01/10/2011,12:46:03,27.6279,-18.0521,15,-1,3.3,4,SW FRONTERA.I,2011-10-01 00:00:00+00,0101000020E6100000211FF46C560D32C08D28ED0DBEA03B40,3790,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101517,02/10/2011,12:31:11,27.65,-18.06,15,-1,3.1,4,SW FRONTERA.I,2011-10-02 00:00:00+00,0101000020E61000008FC2F5285C0F32C06666666666A63B40,3853,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101533,02/10/2011,15:28:49,27.6468,-18.0633,14,-1,3.1,4,SW FRONTERA.I,2011-10-02 00:00:00+00,0101000020E610000039D6C56D341032C0840D4FAF94A53B40,3870,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101575,02/10/2011,19:30:04,27.6302,-18.0484,14,-1,3.3,4,SW FRONTERA.I,2011-10-02 00:00:00+00,0101000020E61000005C2041F1630C32C06FF085C954A13B40,3907,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101585,02/10/2011,19:39:49,27.6341,-18.0538,15,-1,3.7,4,SW FRONTERA.I,2011-10-02 00:00:00+00,0101000020E6100000598638D6C50D32C0C364AA6054A23B40,3909,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101703,03/10/2011,02:04:21,27.6273,-18.0588,14,-1,3.1,4,SW FRONTERA.I,2011-10-03 00:00:00+00,0101000020E61000003B014D840D0F32C0E3C798BB96A03B40,3961,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101692,03/10/2011,02:11:54,27.6233,-18.0598,16,IV,3.5,4,SW FRONTERA.I,2011-10-03 00:00:00+00,0101000020E6100000014D840D4F0F32C0C898BB96909F3B40,3962,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101710,03/10/2011,02:34:47,27.6262,-18.0609,14,-1,3.4,4,SW FRONTERA.I,2011-10-03 00:00:00+00,0101000020E61000008F537424970F32C055C1A8A44EA03B40,3972,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101714,03/10/2011,02:35:36,27.6273,-18.0504,15,,3.2,4,SW FRONTERA.I,2011-10-03 00:00:00+00,0101000020E6100000E9B7AF03E70C32C0E3C798BB96A03B40,3973,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101716,03/10/2011,02:36:09,27.6278,-18.0517,15,-1,3.1,4,SW FRONTERA.I,2011-10-03 00:00:00+00,0101000020E6100000053411363C0D32C0C66D3480B7A03B40,3974,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101751,03/10/2011,04:19:38,27.6254,-18.0491,15,,3.1,4,SW FRONTERA.I,2011-10-03 00:00:00+00,0101000020E6100000CD3B4ED1910C32C01CEBE2361AA03B40,3986,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1101886,03/10/2011,10:14:43,27.6365,-18.0431,16,III,3.2,4,SW FRONTERA.I,2011-10-03 00:00:00+00,0101000020E61000002575029A080B32C06DE7FBA9F1A23B40,4033,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1102004,03/10/2011,12:48:00,27.6427,-18.0319,13,IV,3.7,4,SW FRONTERA.I,2011-10-03 00:00:00+00,0101000020E61000000EBE30992A0832C0A323B9FC87A43B40,4045,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1102222,04/10/2011,02:10:49,27.6393,-18.0411,15,III,3.6,4,SW FRONTERA.I,2011-10-04 00:00:00+00,0101000020E610000098DD9387850A32C03255302AA9A33B40,4090,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1102285,04/10/2011,05:58:12,27.654,-18.0325,13,III,3.3,4,SW FRONTERA.I,2011-10-04 00:00:00+00,0101000020E6100000B81E85EB510832C08195438B6CA73B40,4099,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1102568,04/10/2011,19:03:31,27.6518,-18.0539,14,-1,3.4,4,SW FRONTERA.I,2011-10-04 00:00:00+00,0101000020E61000002041F163CC0D32C06688635DDCA63B40,4150,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1102635,05/10/2011,07:02:53,27.64,-18.034,14,II-III,3.6,4,SW FRONTERA.I,2011-10-05 00:00:00+00,0101000020E610000062105839B40832C0A4703D0AD7A33B40,4201,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1102874,05/10/2011,19:54:29,27.6879,-18.0426,13,III,3.1,4,SW FRONTERA.I,2011-10-05 00:00:00+00,0101000020E610000042CF66D5E70A32C01CEBE2361AB03B40,4246,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1102971,06/10/2011,05:03:16,27.6655,-18.0396,13,III,3.2,4,SW FRONTERA.I,2011-10-06 00:00:00+00,0101000020E6100000EEEBC039230A32C0EE7C3F355EAA3B40,4275,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1103159,06/10/2011,12:27:35,27.6702,-18.0392,13,III,3.1,4,SW FRONTERA.I,2011-10-06 00:00:00+00,0101000020E6100000D200DE02090A32C07AC7293A92AB3B40,4329,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1103349,06/10/2011,23:03:11,27.66,-18.0309,12,III,3.2,4,SW FRONTERA.I,2011-10-06 00:00:00+00,0101000020E61000004772F90FE90732C0295C8FC2F5A83B40,4409,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1103430,07/10/2011,02:30:06,27.6472,-18.0243,13,III,3.3,4,SW EL PINAR.I,2011-10-07 00:00:00+00,0101000020E6100000F54A5986380632C0A1F831E6AEA53B40,4455,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1103589,07/10/2011,09:29:08,27.6642,-18.0307,12,II,3.1,4,SW EL PINAR.I,2011-10-07 00:00:00+00,0101000020E6100000B9FC87F4DB0732C0D200DE0209AA3B40,4489,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1103754,07/10/2011,22:25:55,27.6445,-18.018,12,V,3.8,4,SW EL PINAR.I,2011-10-07 00:00:00+00,0101000020E6100000F853E3A59B0432C0A245B6F3FDA43B40,4563,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1103755,07/10/2011,22:27:44,27.6485,-18.0163,13,IV,3.7,4,SW EL PINAR.I,2011-10-07 00:00:00+00,0101000020E6100000C0EC9E3C2C0432C0BC74931804A63B40,4564,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1103774,07/10/2011,22:52:25,27.6541,-18.0181,11,III,3.1,4,SW EL PINAR.I,2011-10-07 00:00:00+00,0101000020E6100000BF0E9C33A20432C04850FC1873A73B40,4578,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1103776,07/10/2011,22:52:57,27.6527,-18.0116,11,III-IV,3.6,4,SW EL PINAR.I,2011-10-07 00:00:00+00,0101000020E610000034A2B437F80232C06519E25817A73B40,4579,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
1103777,07/10/2011,22:56:14,27.6539,-18.015,11,III-IV,3.4,4,SW EL PINAR.I,2011-10-07 00:00:00+00,0101000020E6100000A4703D0AD70332C0BADA8AFD65A73B40,4580,2015-06-08 15:46:53.792986+00,2015-06-08 15:46:53.792986+00
