Rank,Mountain,Height,Height_ft,Range,latitude,longitude,Parent mountain,First  ascent,Ascents  (failed attempts)  bef. 2004[7]
10,Annapurna I,"8,091","26,545",Annapurna Himalaya,28.59556,83.82028,Cho Oyu,1950,36 (47)
16,Annapurna II,"7,937","26,040",Annapurna Himalaya,28.53472,84.12194,Annapurna I,1960,6 (19)
42,Annapurna III,"7,555","24,787",Annapurna Himalaya,28.58500,83.99000,Annapurna I,1961,10 (17)
59,Gangapurna,"7,455","24,459",Annapurna Himalaya,28.60500,83.96361,Annapurna III,1965,8 (13)
101,Annapurna Dakshin,"7,219","23,684",Annapurna Himalaya,28.51833,83.80611,Annapurna,1964,10 (16)
28,Namcha Barwa,"7,782","25,531",Assam Himalaya,29.63111,95.05528,Kangchenjunga,1992,1 (2)
85,Gyala Peri,"7,294","23,930",Assam Himalaya,29.81444,94.96861,Mount Everest,1986,1 (0)
90,Kangpenqing /  Gang Benchhen,"7,281","23,888",Baiku Himalaya,28.55083,85.54556,Shisha Pangma,1982,1 (1)
2,K2 / Qogir /  Godwin Austen,"8,611","28,251",Baltoro Karakoram,35.88139,76.51333,Mount Everest[9],1954,45 (44)
11,Gasherbrum I /  Hidden Peak / K5,"8,080","26,509",Baltoro Karakoram,35.72444,76.69639,K2,1958,31 (16)
12,Broad Peak / K3,"8,051","26,414",Baltoro Karakoram,35.81056,76.56833,Gasherbrum I,1957,39 (19)
13,Gasherbrum II / K4,"8,035","26,362",Baltoro Karakoram,35.75778,76.65333,Gasherbrum I,1956,54 (12)
110,Gasherbrum III,"7,946","26,070",Baltoro Karakoram,35.75917,76.64167,(Gasherbrum III Gasherbrum II,1975,2 (2)
17,Gasherbrum IV,"7,932","26,024",Baltoro Karakoram,35.76056,76.61611,Gasherbrum III,1958,4 (11)
44,Skyang Kangri,"7,545","24,754",Baltoro Karakoram,35.92639,76.56750,K2,1976,1 (2)
66,Skil Brum,"7,410","24,311",Baltoro Karakoram,35.85083,76.42861,K2,1957,2 (1)
81,Chongtar,"7,315","23,999",Baltoro Karakoram,35.91528,76.42917,Skil Brum,1994,1 (1)
91,Muztagh Tower,"7,276","23,871",Baltoro Karakoram,35.82778,76.36111,Skil Brum,1956,4 (2)
25,Batura Sar,"7,795","25,574",Batura Karakoram,36.51028,74.52250,Distaghil Sar,1976,4 (6)
38,Shispare,"7,611","24,970",Batura Karakoram,36.44056,74.68083,Batura Sar,1974,3 (1)
54,Passu Sar,"7,476","24,528",Batura Karakoram,36.48778,74.58778,Batura Sar,1994,1 (0)
70,Ultar,"7,388","24,239",Batura Karakoram,36.39083,74.71667,Shispare,1996,2 (5)
41,Gongga Shan /  Minya Konka,"7,556","24,790",Daxue Shan (Hengduan Shan),29.59528,101.87972,Mount Everest,1932,6 (7)
7,Dhaulagiri I,"8,167","26,795",Dhaulagiri Himalaya,28.69667,83.49306,K2,1960,51 (39)
30,Dhaulagiri II,"7,751","25,430",Dhaulagiri Himalaya,28.76278,83.38833,Dhaulagiri,1971,4 (11)
113,Dhaulagiri IV,"7,661","25,135",Dhaulagiri Himalaya,28.73583,83.31528,(Dhaulagiri IV Dhaulagiri II,1975,2 (10)
114,Dhaulagiri V,"7,618","24,993",Dhaulagiri Himalaya,28.73389,83.36139,(Dhaulagiri V (7618 m)) *,340,Dhaulagiri IV,1975,2 (3)
72,Churen Himal,"7,385","24,229",Dhaulagiri Himalaya,28.73472,83.21750,Dhaulagiri IV,1970,3 (0)
118,Dhaulagiri VI,"7,268","23,845",Dhaulagiri Himalaya,28.70861,83.27417,(Dhaulagiri VI Dhaulagiri IV,1970,5 (0)
95,Putha Hiunchuli,"7,246","23,773",Dhaulagiri Himalaya,28.74778,83.14611,Churen Himal,1954,11 (5)
62,Yangra /  Ganesh I,"7,422","24,350",Ganesh Himalaya,28.39139,85.12722,Manaslu,1955,1 (6)
23,Nanda Devi,"7,816","25,643",Garhwal Himalaya,30.37583,79.97083,Dhaulagiri,1936,14 (12)
29,Kamet,"7,756","25,446",Garhwal Himalaya,30.92000,79.59167,(29. Kamet (7756 m)) *,"2,825",Nanda Devi,1931,23 (14)
115,Sunanda Devi,"7,434","24,390",Garhwal Himalaya,30.36667,79.99444,(Sunanda Devi Nanda Devi,1939,14 (12)
116,Abi Gamin,"7,355","24,131",Garhwal Himalaya,30.93250,79.60250,(Abi Gamin Kamet,1950,17 (2)
92,Mana Peak,"7,272","23,858",Garhwal Himalaya,30.88056,79.61528,Kamet,1937,7 (3)
97,Mukut Parbat,"7,242","23,760",Garhwal Himalaya,30.94917,79.57000,Kamet,1951,2 (1)
33,Tirich Mir,"7,708","25,289",Hindu Kush,36.25528,71.84167,(33. Tirich Mir (7708 m)) *,"3,910",Batura Sar,1950,20 (11)
52,Noshaq,"7,492","24,580",Hindu Kush,36.43222,71.82861,Tirich Mir,1960,33 (3)
68,Istor-o-Nal,"7,403","24,288",Hindu Kush,36.37556,71.89833,Noshaq,1969,4 (5)
78,Saraghrar,"7,349","24,111",Hindu Kush,36.54750,72.11500,Noshaq,1959,2 (3)
19,Distaghil Sar,"7,884","25,866",Hispar Karakoram,36.32583,75.18778,K2,1960,3 (5)
21,Khunyang Chhish,"7,823","25,666",Hispar Karakoram,36.20528,75.20778,(21. Khunyang Chhish (7823 m)) *,"1,765",Distaghil Sar,1971,2 (6)
26,Kanjut Sar,"7,790","25,558",Hispar Karakoram,36.20556,75.41694,Khunyang Chhish,1959,2 (1)
39,Trivor,"7,577","24,859",Hispar Karakoram,36.28750,75.08500,(39. Trivor (7577 m)) *,980,Distaghil Sar,1960,2 (5)
53,Pumari Chhish,"7,492","24,580",Hispar Karakoram,36.21139,75.25028,Khunyang Chhish,1979,1 (2)
55,Yukshin Gardan Sar,"7,469","24,505",Hispar Karakoram,36.25111,75.37472,Pumari Chhish,1984,4 (1)
64,Momhil Sar,"7,414","24,324",Hispar Karakoram,36.31778,75.03639,(64. Momhil Sar (7414 m)) *,980,Trivor,1964,2 (6)
88,Yutmaru Sar,"7,283","23,894",Hispar Karakoram,36.22639,75.36722,Yukshin Gardan Sar,1980,1 (1)
104,Malangutti Sar,"7,207","23,645",Hispar Karakoram,36.36306,75.14917,Distaghil Sar,1985,1 (0)
109,Lupghar Sar,"7,200","23,622",Hispar Karakoram,36.35028,75.03694,(109. Lupghar Sar (7200 m)) *,730,Momhil Sar,1979,1 (0)
79,Jomolhari,"7,326","24,035",Jomolhari Himalaya,27.82667,89.26778,(79. Jomolhari (7326 m)) *,"2,077",Gangkhar Puensum,1937,4 (0)
14,Shishapangma,"8,027","26,335",Jugal Himalaya,28.35333,85.77861,Cho Oyu,1964,43 (19)
3,Kangchenjunga,"8,586","28,169",Kangchenjunga Himalaya,27.70333,88.14750,(3. Kangchenjunga (8586 m)) *,"3,922",Mount Everest,1955,38 (24)
32,Jannu,"7,711","25,299",Kangchenjunga Himalaya,27.68222,88.04444,(32. Jannu (7711 m)) *,"1,036",Kangchenjunga,1962,17 (12)
57,Jongsong Peak,"7,462","24,482",Kangchenjunga Himalaya,27.88167,88.13583,Kangchenjunga,1930,2 (3)
65,Kabru N,"7,412","24,318",Kangchenjunga Himalaya,27.63389,88.11667,Kangchenjunga,1994,1 (2)[11]
76,Kirat Chuli,"7,362","24,153",Kangchenjunga Himalaya,27.78778,88.19528,Kangchenjunga,1939,1 (6)
117,Gimmigela / The Twins,"7,350","24,114",Kangchenjunga Himalaya,27.74083,88.15861,(Gimmigela / The Twins Kangchenjunga,1994,3 (1)
37,Kongur Tagh,"7,649","25,095",Kongur Shan (Eastern Pamirs),38.59333,75.31333,Distaghil Sar,1981,2 (4)
47,Kongur Tiube,"7,530","24,705",Kongur Shan (Eastern Pamirs),38.61583,75.19583,Kongur Tagh,1956,2 (3)
40,Gangkhar Puensum,"7,570","24,836",Kula Kangri Himalaya,28.04722,90.45528,(40. Gangkhar Puensum (7570 m)) *,"2,995",Kangchenjunga,unclimbed,0 (3)
46,Kula Kangri,"7,538","24,731",Kula Kangri Himalaya,28.22694,90.61639,Gangkhar Puensum,1986,3 (2)
100,Karjiang,"7,221","23,691",Kula Kangri Himalaya,28.25750,90.64694,Kula Kangri,unclimbed,0 (2)
75,Labuche Kang,"7,367","24,170",Labuche Himalaya,28.30417,86.35083,Cho Oyu,1987,1 (0)
94,Labuche Kang III / East[12],"7,250","23,786",Labuche Himalaya,28.30139,86.38389,Labuche Kang,unclimbed,0 (0)
112,Molamenqing,"7,703","25,272",Langtang Himalaya,28.35500,85.80972,(Molamenqing Shishapangma,1981,1 (0)
86,Porong Ri,"7,292","23,924",Langtang Himalaya,28.38944,85.72000,Shisha Pangma,1982,5 (0)
99,Langtang Lirung,"7,227","23,711",Langtang Himalaya,28.25611,85.51694,Shisha Pangma,1978,14 (13)
106,Langtang Ri,"7,205","23,638",Langtang Himalaya,28.38139,85.68361,Shisha Pangma,1981,4 (0)
103,Tongshanjiabu[13],"7,207","23,645",Lunana Himalaya,28.18667,89.95750,Gangkar Puensum,unclimbed,0 (0)
107,Kangphu Kang,"7,204","23,635",Lunana Himalaya,28.15556,90.06333,Tongshanjiabu,2002,1 (0)
1,Mount Everest /  Sagarmatha /  Chomolungma,"8,848[8]","29,029",Mahalangur Himalaya,27.98806,86.92528,none,1953,>>145 (121)
4,Lhotse,"8,516","27,940",Mahalangur Himalaya,27.96167,86.93306,Mount Everest,1956,26 (26)
5,Makalu,"8,485","27,838",Mahalangur Himalaya,27.88972,87.08889,Mount Everest,1955,45 (52)
6,Cho Oyu,"8,188","26,864",Mahalangur Himalaya,28.09417,86.66083,Mount Everest,1954,79 (28)
15,Gyachung Kang,"7,952","26,089",Mahalangur Himalaya,28.09806,86.74500,Cho Oyu,1964,5 (3)
111,Nuptse,"7,864","25,801",Mahalangur Himalaya,27.96750,86.88694,(Nuptse Lhotse,1961,5 (12)
24,Chomo Lonzo,"7,804","25,604",Mahalangur Himalaya,27.93056,87.10778,Makalu,1954,3 (1)
45,Changtse,"7,543","24,747",Mahalangur Himalaya,28.02472,86.91417,Mount Everest,1982,9 (9)
77,Nangpai Gosum,"7,350","24,114",Mahalangur Himalaya,28.07333,86.61417,Cho Oyu,1996,3 (1)
80,Chamlang,"7,321","24,019",Mahalangur Himalaya,27.77500,86.97972,Lhotse,1961,7 (1)
83,Siguang Ri,"7,309","23,980",Mahalangur Himalaya,28.14722,86.68500,Cho Oyu,1989,2 (1)
102,Khartaphu,"7,213","23,665",Mahalangur Himalaya,28.06361,86.97750,Mount Everest,1935,1 (0)
8,Manaslu,"8,163","26,781",Manaslu Himalaya,28.55000,84.55972,Cho Oyu,1956,49 (45)
18,Himalchuli,"7,893","25,896",Manaslu Himalaya,28.43667,84.63972,(18. Himalchuli (7893 m)) *,"1,633",Manaslu,1960,6 (12)
20,Ngadi Chuli,"7,871","25,823",Manaslu Himalaya,28.50333,84.56667,Manaslu,1970,2 (6)
22,Masherbrum / K1,"7,821","25,659",Masherbrum Karakoram,35.64111,76.30583,Gasherbrum I,1960,4 (9)
36,Chogolisa,"7,665","25,148",Masherbrum Karakoram,35.61306,76.57472,Masherbrum,1975,4 (2)
82,Baltoro Kangri,"7,312","23,990",Masherbrum Karakoram,35.63917,76.67333,Chogolisa,1976,1 (0)
89,Baltistan Peak / K6,"7,282","23,891",Masherbrum Karakoram,35.41833,76.55167,Chogolisa,1970,1 (3)
43,Muztagh Ata,"7,546","24,757",Muztagata (Eastern Pamirs),38.27583,75.11611,Kongur Tagh,1956,Many
105,Noijin Kangsang /  Norin Kang,"7,206","23,642",Nagarze Himalaya,28.94667,90.17833,Gangkar Puensum,1986,4 (1)
34,Gurla Mandhata,"7,694","25,243",Nalakankar Himalaya,30.43861,81.29667,Dhaulagiri,1985,6 (4)
9,Nanga Parbat,"8,126","26,660",Nanga Parbat Himalaya,35.23722,74.58917,Dhaulagiri,1953,52 (67)
50,Ismoil Somoni Peak,"7,495","24,590",Pamir (Akademiya Nauk Range),38.94306,72.01583,Muztagh Ata,1933,
87,Baintha Brakk / The Ogre,"7,285","23,901",Panmah Karakoram,35.94750,75.75333,(87. Baintha Brakk / The Ogre (7285 m)) *,"1,891",Kanjut Sar,1977,3 (13)
27,Rakaposhi,"7,788","25,551",Rakaposhi-Haramosh Karakoram,36.14250,74.48944,Khunyang Chhish,1958,8 (13)
58,Malubiting,"7,458","24,469",Rakaposhi-Haramosh Karakoram,36.00333,74.87528,Rakaposhi,1971,2 (6)
67,Haramosh Peak,"7,409","24,308",Rakaposhi-Haramosh Karakoram,35.84000,74.89750,Malubiting,1958,4 (3)
93,Diran,"7,266","23,839",Rakaposhi-Haramosh Karakoram,36.12028,74.66167,Malubiting,1968,12 (8)
48,Mamostong Kangri,"7,516","24,659",Rimo Karakoram,35.14194,77.57750,Gasherbrum I,1984,5 (0)
71,Rimo I,"7,385","24,229",Rimo Karakoram,35.35500,77.36889,Teram Kangri I,1988,1 (3)
98,Rimo III,"7,233","23,730",Rimo Karakoram,35.37528,77.36167,Rimo I,1985,1 (0)
31,Saltoro Kangri / K10,"7,742","25,400",Saltoro Karakoram,35.39917,76.84806,(31. Saltoro Kangri / K10 (7742 m)) *,"2,160",Gasherbrum I,1962,2 (1)
61,K12,"7,428","24,370",Saltoro Karakoram,35.29583,77.02222,Saltoro Kangri,1974,4 (2)
69,Ghent Kangri,"7,401","24,281",Saltoro Karakoram,35.51778,76.80056,Saltoro Kangri,1961,4 (0)
74,Sherpi Kangri,"7,380","24,213",Saltoro Karakoram,35.46611,76.78139,(74. Sherpi Kangri (7380 m)) *,"1,000",Ghent Kangri,1976,1 (1)
35,Saser Kangri I / K22,"7,672","25,171",Saser Karakoram,34.86667,77.75250,Gasherbrum I,1973,6 (4)
49,Saser Kangri II E,"7,513","24,649",Saser Karakoram,34.80472,77.80667,Saser Kangri I,2011,0 (0)[10]
51,Saser Kangri III,"7,495","24,590",Saser Karakoram,34.84556,77.78500,Saser Kangri I,1986,1 (0)
56,Teram Kangri I,"7,462","24,482",Siachen Karakoram,35.58000,77.07833,Gasherbrum I,1975,2 (0)
63,Sia Kangri,"7,422","24,350",Siachen Karakoram,35.66333,76.76167,Gasherbrum I,1934,6 (0)
73,Teram Kangri III,"7,382","24,219",Siachen Karakoram,35.59972,77.04806,Teram Kangri I,1979,1 (0)
96,Apsarasas Kangri,"7,245","23,770",Siachen Karakoram,35.53861,77.14861,Teram Kangri I,1976,2 (0)
108,Singhi Kangri,"7,202","23,629",Siachen Karakoram,35.59972,76.98361,Teram Kangri III,1976,2 (0)
60,Jengish Chokusu /  Tömür / Pk Pobeda,"7,439","24,406",Tian Shan,42.03472,80.12972,Ismail Samani Peak,1938,
84,The Crown / Huang Guan,"7,295","23,934",Yengisogat Karakoram,36.10667,76.20583,Skil Brum (K2),1993,1 (3)
